iter	Passed	Remaining
0	150	150670
1	152	76016
2	153	51082
3	155	38628
4	156	31112
5	157	26093
6	158	22498
7	160	19875
8	161	17818
9	163	16139
10	164	14804
11	167	13795
12	169	12850
13	171	12073
14	173	11379
15	174	10737
16	175	10167
17	177	9673
18	179	9244
19	180	8834
20	181	8460
21	182	8125
22	184	7837
23	186	7577
24	187	7322
25	189	7090
26	191	6898
27	192	6693
28	194	6507
29	196	6343
30	197	6174
31	198	6017
32	200	5869
33	201	5728
34	202	5593
35	204	5469
36	205	5348
37	206	5233
38	208	5130
39	209	5032
40	210	4931
41	212	4841
42	213	4757
43	215	4675
44	216	4596
45	217	4520
46	219	4447
47	220	4376
48	222	4309
49	223	4241
50	224	4173
51	225	4108
52	226	4054
53	228	3997
54	229	3940
55	230	3889
56	232	3840
57	233	3797
58	235	3749
59	236	3700
60	237	3653
61	238	3614
62	240	3572
63	241	3529
64	242	3487
65	243	3448
66	245	3420
67	246	3383
68	248	3346
69	249	3309
70	250	3281
71	252	3251
72	253	3217
73	254	3184
74	255	3156
75	257	3133
76	258	3103
77	259	3072
78	261	3043
79	263	3026
80	264	2998
81	265	2971
82	266	2939
83	267	2913
84	268	2891
85	269	2868
86	271	2847
87	273	2829
88	275	2821
89	276	2800
90	278	2778
91	279	2758
92	280	2738
93	282	2721
94	283	2701
95	284	2682
96	286	2667
97	287	2649
98	288	2629
99	289	2609
100	291	2591
101	292	2576
102	293	2558
103	294	2540
104	295	2522
105	297	2510
106	299	2497
107	300	2481
108	301	2465
109	302	2449
110	304	2436
111	305	2422
112	306	2407
113	307	2392
114	308	2377
115	310	2367
116	311	2351
117	312	2336
118	313	2323
119	314	2309
120	316	2296
121	317	2282
122	318	2269
123	319	2256
124	320	2243
125	321	2230
126	322	2217
127	323	2205
128	324	2193
129	326	2181
130	327	2170
131	328	2161
132	329	2150
133	330	2139
134	332	2127
135	333	2116
136	334	2107
137	335	2097
138	336	2086
139	338	2076
140	339	2066
141	340	2055
142	341	2045
143	342	2035
144	343	2025
145	344	2015
146	345	2006
147	347	1998
148	348	1988
149	349	1979
150	350	1971
151	351	1963
152	353	1954
153	354	1945
154	355	1936
155	356	1927
156	357	1918
157	358	1910
158	359	1902
159	360	1893
160	361	1883
161	362	1875
162	363	1868
163	365	1860
164	366	1852
165	367	1844
166	368	1836
167	369	1828
168	370	1823
169	372	1816
170	373	1809
171	374	1802
172	375	1796
173	377	1791
174	378	1784
175	379	1777
176	380	1770
177	382	1764
178	383	1757
179	384	1750
180	385	1744
181	386	1737
182	387	1731
183	389	1725
184	390	1719
185	391	1713
186	392	1707
187	394	1704
188	395	1697
189	396	1691
190	397	1685
191	398	1678
192	400	1674
193	401	1668
194	402	1663
195	403	1657
196	405	1652
197	406	1647
